,Unnamed: 0,Personas con al menos 1 dosis ≥80 años,Población INE≥80 años,%,Personas con al menos 1 dosis 70-79 años,Población INE70-79 años,%.1,Personas con al menos 1 dosis 60-69 años,Población INE60-69 años,%.2,Personas con al menos 1 dosis 50-59 años,Población INE50-59 años,%.3,Personas con al menos 1 dosis 25-49 años,Población INE25-49 años,%.4,18-24 años,Población INE18-24 años,%.5,16-17 años,Población INE16-17 años,%.6,Total Personas con al menos 1 dosis,Total Población INE Población a Vacunar (1),% Con al menos 1 dosis sobre Población a Vacunar INE
0,Andalucía,429873.0,413516,1.0,639607.0,650381,0.9834343254184855,826677.0,916147,0.902340999861376,879900.0,1265021,0.6955615756576373,394963.0,3009381,0.13124393355311276,39420.0,625846,0.06298674114718317,536.0,181921,0.002946333848208838,3210976.0,7062213,0.45466994552557394
1,Aragón,100349.0,98807,1.0,116849.0,118955,0.9822958261527468,142203.0,156367,0.9094182276311498,122265.0,198266,0.6166715422714939,63834.0,446083,0.1430989300197497,6826.0,89180,0.07654182552141736,62.0,25106,0.002469529196208078,552388.0,1132764,0.48764614694676034
2,Asturias ,88104.0,87826,1.0,112644.0,109249,1.0,136065.0,149652,0.9092093657284901,113367.0,162645,0.6970211196163424,45620.0,322095,0.14163523184153742,4616.0,54179,0.0851990623673379,53.0,15563,0.003405513075885112,500469.0,901209,0.5553306724633242
3,Baleares,50353.0,49542,1.0,76117.0,80516,0.9453648964181033,94320.0,117231,0.8045653453438084,107617.0,165797,0.6490889461208587,55530.0,464054,0.11966279786404169,4453.0,85839,0.05187618681485106,43.0,23300,0.0018454935622317598,388433.0,986279,0.3938368352159987
4,Canarias,90646.0,90236,1.0,145522.0,154531,0.9417010179187347,201159.0,235092,0.8556607625950692,215768.0,350512,0.6155794951385402,123654.0,832411,0.14854921427035442,8114.0,163899,0.04950609826783568,87.0,44352,0.0019615800865800865,784950.0,1871033,0.4195276085456537
5,Cantabria,42004.0,41042,1.0,55307.0,53066,1.0,71064.0,77345,0.918792423556791,49029.0,89964,0.544984660530879,26276.0,194241,0.13527525084817316,1826.0,34935,0.05226849864033205,9.0,10791,0.0008340283569641367,245515.0,501384,0.48967458076045506
6,Castilla y Leon,227934.0,223657,1.0,247408.0,245410,1.0,302325.0,318575,0.9489916032331476,168159.0,381175,0.4411595723748934,100646.0,738950,0.13620136680424927,9318.0,144422,0.06451925606901995,119.0,40684,0.0029249827942188574,1055909.0,2092873,0.5045260749218897
7,Castilla - La Mancha,136925.0,135194,1.0,156295.0,159101,0.9823634043783509,204706.0,218444,0.9371097397960118,227183.0,307478,0.7388593655481043,92388.0,707865,0.13051641202771716,8069.0,149518,0.05396674647868484,112.0,42364,0.0026437541308658294,825678.0,1719964,0.48005539650829904
8,Cataluña,453299.0,447196,1.0,603482.0,635292,0.9499285367988264,706578.0,837584,0.8435906130012034,720774.0,1091780,0.6601824543406181,348522.0,2803626,0.12431115990506579,47845.0,556316,0.08600327871209888,854.0,159864,0.005342040734624431,2881354.0,6531658,0.4411366914801724
9,C. Valenciana,293635.0,276531,1.0,425427.0,437862,0.9716006412979432,518422.0,580728,0.8927105288534392,378843.0,752334,0.5035569308312532,215898.0,1765967,0.12225483262144762,21236.0,352834,0.06018694343515647,191.0,103049,0.0018534871760036487,1853652.0,4269305,0.43418120747990596
10,Extremadura,77894.0,76005,1.0,94980.0,91876,1.0,125020.0,125297,0.9977892527355005,103080.0,169216,0.6091622541603631,48803.0,351778,0.13873238235478058,2817.0,76088,0.037022920828514355,73.0,20953,0.0034839879730826136,452667.0,911213,0.4967740802644387
11,Galicia,239821.0,234302,1.0,285376.0,289762,0.9848634396504717,323942.0,346927,0.9337468689378458,265172.0,405889,0.6533116196792719,105061.0,889004,0.11817832090744249,6555.0,152745,0.042914661691053714,44.0,44014,0.0009996819193892853,1225971.0,2362643,0.518898115373334
12,La Rioja,23241.0,22207,1.0,28330.0,28125,1.0,35566.0,37718,0.9429450129911449,26714.0,47664,0.560464921114468,14840.0,107618,0.1378951476518798,1498.0,21170,0.07076051015588096,10.0,6286,0.001590836780146357,130199.0,270788,0.48081525030651284
13,Madrid,369114.0,364122,1.0,500262.0,526081,0.9509220063070135,631145.0,703323,0.8973757434350931,613592.0,972783,0.630759377990775,324590.0,2513737,0.12912647584055134,32478.0,479716,0.06770255734642996,452.0,135861,0.0033269297296501573,2471633.0,5695623,0.43395305482824265
14,Murcia,72914.0,69771,1.0,98960.0,102899,0.9617197446039321,127221.0,146909,0.8659850655848178,137131.0,213256,0.6430346625651798,63977.0,551265,0.11605489193037831,7577.0,118667,0.06385094423892068,141.0,34712,0.004061995851578705,507921.0,1237479,0.4104481773024027
15,Navarra,42297.0,41166,1.0,55385.0,55792,0.992705047318612,68175.0,73844,0.9232300525431992,68485.0,96694,0.7082652491364511,30547.0,223028,0.1369648653980666,3706.0,48505,0.07640449438202247,11.0,13906,0.0007910254566374227,268606.0,552935,0.48578223480155897
16,País Vasco,161627.0,157950,1.0,209329.0,213081,0.9823916726503067,263818.0,280119,0.9418068749352954,198777.0,339977,0.5846777870267694,94879.0,724849,0.13089484844429666,12130.0,140323,0.0864434198242626,42.0,41824,0.0010042081101759755,940602.0,1898123,0.4955432287580942
17,Ceuta,2339.0,2605,0.8978886756238004,3720.0,4318,0.8615099583140343,6725.0,7857,0.8559246531755123,8988.0,11556,0.7777777777777778,8356.0,30066,0.27792190514202086,544.0,7581,0.07175834322648728,8.0,2175,0.0036781609195402297,30680.0,66158,0.46373832340759996
18,Melilla,1909.0,2349,0.8126862494678586,3094.0,3748,0.8255069370330843,6131.0,7827,0.7833141689025169,7983.0,11299,0.7065227011239933,9424.0,30095,0.3131417178933378,315.0,8536,0.03690253045923149,7.0,2324,0.0030120481927710845,28863.0,66178,0.4361419202756203
19,Fuerzas Armadas,28.0,-,-,13.0,-,-,3278.0,-,-,8325.0,-,-,51030.0,-,-,7062.0,-,-,2.0,-,-,69738.0,-,-
20,Total España,2904306.0,2834024,1.0,3858107.0,3960045,0.9742583733265657,4794540.0,5336986,0.8983609850203842,4421152.0,7033306,0.6286022533357712,2218838.0,16706113,0.1328159339039548,226405.0,3310299,0.06839412391448628,2856.0,949049,0.003009328285473142,18426204.0,40129822,0.4591648574967514
21,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,804960,,,,,,,,,,,,,,,,,,,
